"X18S_BL040126_022." "X18S_BL040223_022." "X18S_BL040322_022." "X18S_BL040419_022." "X18S_BL040525_022." "X18S_BL040628_022." "X18S_BL040719_022." "X18S_BL040831_022." "X18S_BL040929_022." "X18S_BL041019_022." "X18S_BL041116_022." "X18S_BL041214_022." "X18S_BL050120_022." "X18S_BL050215_022." "X18S_BL050309_022." "X18S_BL050413_022." "X18S_BL050510_022." "X18S_BL050607_022." "X18S_BL050705_022." "X18S_BL050803_022." "X18S_BL050913_022." "X18S_BL051004_022." "X18S_BL051108_022." "X18S_BL051213_022."
"OTU_1043" 0 0 0 0 0 0 0 0 0 0 90 40 73 0 0 0 0 0 0 0 1 0 18 24
"OTU_1044" 0 0 35 0 0 0 0 0 0 0 2 0 51 0 0 0 0 0 0 0 0 0 0 90
"OTU_1045" 118 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 23 0 0 16
"OTU_1046" 0 0 0 0 0 0 0 0 0 0 0 142 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1047" 0 0 51 0 0 0 0 0 0 0 67 0 0 0 0 0 0 0 0 0 0 0 0 8
"OTU_1048" 81 0 0 3 0 0 0 0 0 19 0 0 1 0 0 0 0 0 0 0 0 0 0 66
"OTU_1049" 0 0 0 0 0 0 0 0 0 5 142 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_105" 0 0 0 0 0 0 0 3942 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1050" 0 0 0 6 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1051" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 137 0
"OTU_1052" 0 0 0 15 0 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1053" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 140
"OTU_1054" 0 0 0 0 0 0 87 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1055" 180 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1056" 0 0 0 0 0 0 0 0 165 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"OTU_1057" 0 0 140 9 0 0 0 0 0 14 0 0 12 2 0 0 0 0 0 0 11 0 0 0
"OTU_1058" 0 0 0 0 0 0 0 0 129 15 0 49 5 0 0 0 18 0 0 0 0 0 0 0
"OTU_1059" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 130
"OTU_106" 0 0 0 13 0 0 0 1 42 0 1264 0 10 0 0 0 0 1959 8 245 18 0 112 38
"OTU_1060" 0 0 0 0 0 0 0 0 0 0 0 0 52 65 0 0 0 0 0 0 0 0 0 0
"OTU_1061" 1 69 0 0 0 0 0 0 0 1 0 0 243 0 0 0 0 0 0 0 0 0 0 3
"OTU_1062" 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0 0 58 24
"OTU_1063" 0 0 0 0 0 0 0 0 0 0 22 129 6 0 0 0 0 0 0 0 0 0 30 34
"OTU_1064" 195 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1065" 5 0 0 0 0 0 56 0 0 0 0 0 0 0 0 0 10 87 0 0 0 0 0 0
"OTU_1066" 0 0 0 0 0 0 0 149 22 0 0 0 0 0 0 0 0 28 0 0 0 0 0 38
"OTU_1067" 0 0 0 0 0 0 0 0 0 0 121 0 0 0 0 0 0 0 0 0 0 0 0 78
"OTU_1068" 0 0 0 0 0 0 0 197 0 25 4 0 0 0 0 0 0 0 0 0 0 0 39 0
"OTU_1069" 0 0 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_107" 2811 0 1082 2 0 0 91 0 1 22 51 17 565 113 0 0 0 92 0 0 139 3 81 308
"OTU_1070" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 115 0 0 0 0 0
"OTU_1071" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 109 1 0 0 0 0 0 0 0
"OTU_1072" 34 0 0 0 0 0 0 0 0 0 0 29 3 87 0 0 0 0 0 0 0 0 28 2
"OTU_1073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 165
"OTU_1074" 10 0 0 0 0 0 0 0 0 0 7 0 17 0 0 0 0 0 0 0 58 0 0 65
"OTU_1075" 0 0 45 91 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU_1076" 0 0 0 3 0 81 0 0 0 0 0 80 0 0 0 0 0 4 33 0 0 0 0 19
"OTU_1077" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 119 0 0 0 0 0 0
"OTU_1078" 0 0 6 0 0 0 0 0 0 0 0 0 136 0 0 0 0 0 0 0 0 0 0 15
"OTU_1079" 0 0 0 2 0 0 0 0 0 0 60 0 18 0 0 0 0 0 0 0 0 0 0 66
"OTU_108" 147 0 0 0 0 0 0 0 0 0 935 84 124 0 0 0 0 0 0 0 13 1 0 2564
"OTU_1080" 0 0 0 0 0 0 0 155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
